STATENAME,URL,WEBSITE,ACTIVITYESTIMATE,WEEKEND,WEEK,SEASON
Alabama,http://adph.org/influenza/,Influenza Surveillance,Widespread,Mar-16-2019,11,2018-19
Alabama,http://adph.org/influenza/,Influenza Surveillance,Widespread,Mar-23-2019,12,2018-19
Alabama,http://adph.org/influenza/,Influenza Surveillance,Widespread,Mar-30-2019,13,2018-19
Alabama,http://adph.org/influenza/,Influenza Surveillance,Local Activity,Apr-06-2019,14,2018-19
Alabama,http://adph.org/influenza/,Influenza Surveillance,Regional,Apr-13-2019,15,2018-19
Alabama,http://adph.org/influenza/,Influenza Surveillance,Local Activity,Apr-20-2019,16,2018-19
Alabama,http://adph.org/influenza/,Influenza Surveillance,Sporadic,Apr-27-2019,17,2018-19
Alabama,http://adph.org/influenza/,Influenza Surveillance,Sporadic,May-04-2019,18,2018-19
Alabama,http://adph.org/influenza/,Influenza Surveillance,Sporadic,May-11-2019,19,2018-19
Alabama,http://adph.org/influenza/,Influenza Surveillance,Sporadic,May-18-2019,20,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Sporadic,Oct-06-2018,40,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Sporadic,Oct-13-2018,41,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Sporadic,Oct-20-2018,42,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Sporadic,Oct-27-2018,43,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Sporadic,Nov-03-2018,44,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Sporadic,Nov-10-2018,45,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Sporadic,Nov-17-2018,46,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Local Activity,Nov-24-2018,47,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Sporadic,Dec-01-2018,48,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Sporadic,Dec-08-2018,49,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Sporadic,Dec-15-2018,50,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Sporadic,Dec-22-2018,51,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Sporadic,Dec-29-2018,52,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Sporadic,Jan-05-2019,1,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Local Activity,Jan-12-2019,2,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Local Activity,Jan-19-2019,3,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Local Activity,Jan-26-2019,4,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Regional,Feb-02-2019,5,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Widespread,Feb-09-2019,6,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Widespread,Feb-16-2019,7,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Widespread,Feb-23-2019,8,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Widespread,Mar-02-2019,9,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Widespread,Mar-09-2019,10,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Widespread,Mar-16-2019,11,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Local Activity,Mar-23-2019,12,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Regional,Mar-30-2019,13,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Local Activity,Apr-06-2019,14,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Local Activity,Apr-13-2019,15,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Sporadic,Apr-20-2019,16,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Sporadic,Apr-27-2019,17,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,No Activity,May-04-2019,18,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,No Activity,May-11-2019,19,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,No Activity,May-18-2019,20,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,Sporadic,Oct-06-2018,40,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,Sporadic,Oct-13-2018,41,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,Sporadic,Oct-20-2018,42,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,Sporadic,Oct-27-2018,43,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,Sporadic,Nov-03-2018,44,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,Local Activity,Nov-10-2018,45,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,Local Activity,Nov-17-2018,46,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,Local Activity,Nov-24-2018,47,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,Local Activity,Dec-01-2018,48,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,Regional,Dec-08-2018,49,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,Regional,Dec-15-2018,50,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,Widespread,Dec-22-2018,51,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,Widespread,Dec-29-2018,52,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,Widespread,Jan-05-2019,1,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,Widespread,Jan-12-2019,2,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,Widespread,Jan-19-2019,3,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,Widespread,Jan-26-2019,4,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,Widespread,Feb-02-2019,5,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,Widespread,Feb-09-2019,6,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,Widespread,Feb-16-2019,7,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,Widespread,Feb-23-2019,8,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,Widespread,Mar-02-2019,9,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,Widespread,Mar-09-2019,10,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,Widespread,Mar-16-2019,11,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,Widespread,Mar-23-2019,12,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,Widespread,Mar-30-2019,13,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,Widespread,Apr-06-2019,14,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,Widespread,Apr-13-2019,15,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,Regional,Apr-20-2019,16,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,Regional,Apr-27-2019,17,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,Regional,May-04-2019,18,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,Regional,May-11-2019,19,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,Regional,May-18-2019,20,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Sporadic,Oct-06-2018,40,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Sporadic,Oct-13-2018,41,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Sporadic,Oct-20-2018,42,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Sporadic,Oct-27-2018,43,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Sporadic,Nov-03-2018,44,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Sporadic,Nov-10-2018,45,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Sporadic,Nov-17-2018,46,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Sporadic,Nov-24-2018,47,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Sporadic,Dec-01-2018,48,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Sporadic,Dec-08-2018,49,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Local Activity,Dec-15-2018,50,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Local Activity,Dec-22-2018,51,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Regional,Dec-29-2018,52,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Regional,Jan-05-2019,1,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Regional,Jan-12-2019,2,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Regional,Jan-19-2019,3,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Widespread,Jan-26-2019,4,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Widespread,Feb-02-2019,5,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Widespread,Feb-09-2019,6,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Widespread,Feb-16-2019,7,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Widespread,Feb-23-2019,8,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Widespread,Mar-02-2019,9,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Widespread,Mar-09-2019,10,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Widespread,Mar-16-2019,11,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Widespread,Mar-23-2019,12,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Regional,Mar-30-2019,13,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Regional,Apr-06-2019,14,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Local Activity,Apr-13-2019,15,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Sporadic,Apr-20-2019,16,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Sporadic,Apr-27-2019,17,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Sporadic,May-04-2019,18,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Sporadic,May-11-2019,19,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Sporadic,May-18-2019,20,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),Sporadic,Oct-06-2018,40,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),Sporadic,Oct-13-2018,41,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),Sporadic,Oct-20-2018,42,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),Sporadic,Oct-27-2018,43,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),Sporadic,Nov-03-2018,44,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),Sporadic,Nov-10-2018,45,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),Sporadic,Nov-17-2018,46,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),Local Activity,Nov-24-2018,47,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),Regional,Dec-01-2018,48,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),Widespread,Dec-08-2018,49,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),Widespread,Dec-15-2018,50,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),Widespread,Dec-22-2018,51,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),Widespread,Dec-29-2018,52,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),Widespread,Jan-05-2019,1,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),Widespread,Jan-12-2019,2,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),Widespread,Jan-19-2019,3,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),Widespread,Jan-26-2019,4,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),Widespread,Feb-02-2019,5,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),Widespread,Feb-09-2019,6,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),Widespread,Feb-16-2019,7,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),Widespread,Feb-23-2019,8,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),Widespread,Mar-02-2019,9,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),Widespread,Mar-09-2019,10,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),Widespread,Mar-16-2019,11,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),Widespread,Mar-23-2019,12,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),Widespread,Mar-30-2019,13,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),Widespread,Apr-06-2019,14,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),Widespread,Apr-13-2019,15,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),Regional,Apr-20-2019,16,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),Sporadic,Apr-27-2019,17,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),Sporadic,May-04-2019,18,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),Sporadic,May-11-2019,19,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),Sporadic,May-18-2019,20,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,Sporadic,Oct-06-2018,40,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,No Activity,Oct-13-2018,41,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,Sporadic,Oct-20-2018,42,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,Sporadic,Oct-27-2018,43,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,Sporadic,Nov-03-2018,44,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,Sporadic,Nov-10-2018,45,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,Sporadic,Nov-17-2018,46,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,Sporadic,Nov-24-2018,47,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,Local Activity,Dec-01-2018,48,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,Local Activity,Dec-08-2018,49,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,Local Activity,Dec-15-2018,50,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,Regional,Dec-22-2018,51,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,Widespread,Dec-29-2018,52,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,Widespread,Jan-05-2019,1,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,Widespread,Jan-12-2019,2,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,Widespread,Jan-19-2019,3,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,Regional,Jan-26-2019,4,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,Widespread,Feb-02-2019,5,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,Widespread,Feb-09-2019,6,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,Widespread,Feb-16-2019,7,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,Widespread,Feb-23-2019,8,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,Widespread,Mar-02-2019,9,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,Widespread,Mar-09-2019,10,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,Widespread,Mar-16-2019,11,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,Regional,Mar-23-2019,12,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,Regional,Mar-30-2019,13,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,Regional,Apr-06-2019,14,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,Local Activity,Apr-13-2019,15,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,Local Activity,Apr-20-2019,16,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,Sporadic,Apr-27-2019,17,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,Local Activity,May-04-2019,18,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,Sporadic,May-11-2019,19,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,Sporadic,May-18-2019,20,2018-19
Connecticut,https://portal.ct.gov/DPH/Epidemiology-and-Emerging-Infections/Influenza-Surveillance-and-Statistics,Flu Statistics,Sporadic,Oct-06-2018,40,2018-19
Connecticut,https://portal.ct.gov/DPH/Epidemiology-and-Emerging-Infections/Influenza-Surveillance-and-Statistics,Flu Statistics,Sporadic,Oct-13-2018,41,2018-19
Connecticut,https://portal.ct.gov/DPH/Epidemiology-and-Emerging-Infections/Influenza-Surveillance-and-Statistics,Flu Statistics,Sporadic,Oct-20-2018,42,2018-19
Connecticut,https://portal.ct.gov/DPH/Epidemiology-and-Emerging-Infections/Influenza-Surveillance-and-Statistics,Flu Statistics,Sporadic,Oct-27-2018,43,2018-19
Connecticut,https://portal.ct.gov/DPH/Epidemiology-and-Emerging-Infections/Influenza-Surveillance-and-Statistics,Flu Statistics,Local Activity,Nov-03-2018,44,2018-19
Connecticut,https://portal.ct.gov/DPH/Epidemiology-and-Emerging-Infections/Influenza-Surveillance-and-Statistics,Flu Statistics,Local Activity,Nov-10-2018,45,2018-19
Connecticut,https://portal.ct.gov/DPH/Epidemiology-and-Emerging-Infections/Influenza-Surveillance-and-Statistics,Flu Statistics,Local Activity,Nov-17-2018,46,2018-19
